,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,69.06,90,96,2.26,US,1631499160
1,Ribeira Grande,38.5167,-28.7,69.69,74,98,20.29,PT,1631499160
2,Hong Kong,22.2855,114.1577,91.36,75,5,1.01,HK,1631499097
3,Cape Town,-33.9258,18.4232,50.88,89,85,1.99,ZA,1631499161
4,Atuona,-9.8,-139.0333,78.03,68,1,20.85,PF,1631499161
5,Jamestown,42.097,-79.2353,69.13,96,40,4.0,US,1631499162
6,Touros,-5.1989,-35.4608,74.3,82,26,13.44,BR,1631499162
7,Saskylakh,71.9167,114.0833,49.19,60,100,5.73,RU,1631499162
8,Santa Rosalía,27.3167,-112.2833,87.13,53,0,2.93,MX,1631499163
9,Kahului,20.8947,-156.47,84.22,58,40,25.32,US,1631499163
10,Gijang,35.2442,129.2139,76.06,72,100,15.55,KR,1631499163
11,Rusape,-18.5278,32.1284,51.73,75,64,5.17,ZW,1631499164
12,Sakaiminato,35.55,133.2333,76.15,67,100,15.03,JP,1631499164
13,Kipushi,-11.7667,27.2333,60.89,52,14,5.44,CD,1631499164
14,Along,28.1667,94.7667,80.01,80,35,1.68,IN,1631499165
15,Sibolga,1.7427,98.7792,74.44,92,100,3.42,ID,1631499165
16,Kumul,42.8,93.45,75.13,13,100,5.03,CN,1631499165
17,Walvis Bay,-22.9575,14.5053,55.09,94,2,5.95,NA,1631499166
18,Lakes Entrance,-37.8811,147.981,54.16,53,18,9.22,AU,1631499166
19,Pramanta,39.5231,21.1014,57.2,76,100,5.32,GR,1631499167
20,Harper,4.375,-7.7169,76.91,87,100,7.25,LR,1631499167
21,Avarua,-21.2078,-159.775,78.85,73,59,16.11,CK,1631499167
22,Hilo,19.7297,-155.09,79.63,61,90,6.91,US,1631499168
23,Rikitea,-23.1203,-134.9692,73.18,73,0,3.11,PF,1631499168
24,Port Hardy,50.6996,-127.4199,56.35,86,98,10.63,CA,1631499168
25,Ushuaia,-54.8,-68.3,38.86,65,40,27.63,AR,1631499169
26,Bluff,-46.6,168.3333,44.8,77,91,20.67,NZ,1631499169
